airyai              airyAi
airybi              airyBi
besseli             besselI
besselj             besselJ
besselk             besselK
bessely             besselY
cn                  cn
dn                  dn
ellipe              ellipticE
ellipf              ellipticF
ellipk              ellipticK
ellippi             ellipticPi
gamma               gamma
hankel1             hankel1
hankel2             hankel2
hyper               hypergeometricPFQ
hyperu              hypergeometricU
hyp0f1              hypergeometric0F1
hyp1f1              hypergeometric1F1
hyp2f1              hypergeometric2F1
laguerre            laguerre
legenp              legendreP
legenq              legendreQ
sn                  sn
struveh             struveH
struvel             struveL
whitm               whittakerM
whitw               whittakerW
zeta                zeta
